Nom message,content,discussion,"type (0= interlo, 1 = joueur)",délais,nextElement (Interlo),Emojis_1,NextElement_1,Emojis_2,NextElement_2,Emojis_3,NextElement_3,Emojis_4,NextElement_4
Professeur 2.3,Toujours à me faire chier,Girl,0,,Professeur 4,,,,,,,,
Professeur 3,Mais si ! Tu sais bien ,Girl,0,,Professeur 3.1,,,,,,,,
Professeur 3.1, Il me harcèle en classe,Girl,0,,Professeur 3.2,,,,,,,,
Professeur 3.2,Il me colle que des mauvaises notes,Girl,0,,Professeur 3.3,,,,,,,,
Professeur 3.3,Et puis il me colle ,Girl,0,,Professeur 3.4,,,,,,,,
Professeur 3.4,Ce gros con !!!,Girl,0,,Professeur 3.5,,,,,,,,
Professeur 3.5,Il a tjrs des raisons à la con,Girl,0,,Professeur 4,,,,,,,,
Professeur 4,C'est clair tu es un vrai modèle d'innoncence,Girl,1,,,1F607,Professeur 6,1F60E,Professeur 5,1F608,Professeur 5,,
Professeur 6,Pétasse  ;p,Girl,0,,Professeur 6.1,,,,,,,,
Professeur 6.1,Sa change rien au fait que c DS sont trop durs,Girl,0,,Professeur 6.2,,,,,,,,
Professeur 6.2, Et que c un GROS CONNARD !!!,Girl,0,,Professeur 6,,,,,,,,
Professeur 5,;p,Girl,0,,Professeur 5.1,,,,,,,,
Professeur 5.1, Ouais j'suis trop un bad girl  ,Girl,0,,Professeur 5.2,,,,,,,,
Professeur 5.2,Bref Je déteste ce prof,Girl,0,,Professeur 5.3,,,,,,,,
Professeur 5.3,Quel gros CON !,Girl,0,,Professeur 5.4,,,,,,,,
Professeur 5.4,WOW !!!,Girl,1,,,1F602,Professeur 10,1F62F,Professeur 8,1F611,Professeur 7,,
Professeur 7,XD Excuse je t'ai choqué ?,Girl,0,,Professeur 7.1,,,,,,,,
Professeur 7.1,Tu préfères qu'on parle d'autre chose,Girl,0,,Amour 1,,,,,,,,
Professeur 8 ,XD Déso,Girl,0,,Professeur 8.1 ,,,,,,,,
Professeur 8.1 ,Je l'aime vraiment pas,Girl,0,,Professeur 8.2,,,,,,,,
Professeur 8.2,Toi non plus d'ailleurs,Girl,0,,Professeur 9,,,,,,,,
Professeur 9,Bof… Pas trop non,Girl,1,,,1F615,,1F612,,1F922,Professeur 10,,
Professeur 10,XD,Girl,0,,Professeur 11,,,,,,,,
Professeur 11,Ce qui me dégoute le plus chez lui c sa transpiration,Girl,0,,Professeur 12,,,,,,,,
Professeur 12,une vrai fontaine,Girl,0,,Professeur 13,,,,,,,,
Professeur 13,Avec des auréoles comme sa,Girl,0,,Professeur 14,,,,,,,,
Professeur 14,C un archange,Girl,0,,Professeur 15,,,,,,,,
Professeur 15,Il pue,Girl,0,,Professeur 16,,,,,,,,
Professeur 16,Beurk ! Stop avec la poésie !,Girl,1,,,1F922,Professeru 17,1F92E,Professeru 17,1F628,Professeur 7,,
Professeur 17,Je suis une génie incomprise,Girl,0,,Professeur 18,,,,,,,,
Professeur 18,"Quand il arrive, ses chemises sont déjà toutes mouillées",Girl,0,,Professeur 19,,,,,,,,
Professeur 19,Il est pro de concours de T-shirt mouillé,Girl,0,,Professeur 20,,,,,,,,
Professeur 20,En parlant de fringues,Girl,0,,Professeur 21,,,,,,,,
Professeur 21,Tu as vu comment il se sappe ?,Girl,0,,Professeur 22,,,,,,,,
Professeur 22, ,Girl,1,,,1F47D,Professeur 22.1,1F921,Professeur 22.2,1F4A9,Professeur 22.3,,
Professeur 22.1,"Yep, on dirait qu'il débarque d'une autre planète",Girl,0,,Professeur 23,,,,,,,,
Professeur 22.2,"Yep, on dirait un clown avec toutes c couleurs",Girl,0,,Professeur 23,,,,,,,,
Professeur 22.3,"Yep, il a vraiment des gouts de chiotte",Girl,0,,Professeur 23,,,,,,,,
Professeur 23,Il a du volé ses fringues à un SDF,Girl,0,,Professeur 24,,,,,,,,
Professeur 24,Ca expliquerait aussi son haleine de chacal,Girl,0,,Professeur 25,,,,,,,,
Professeur 25,Il devrait se suicider ce gros porc,Girl,0,,Professeur 25.5,,,,,,,,
Professeur 25.5,"Putain, t'es vache",Girl,1,,,1F631,Suicide 1,1F62C,Suicide 1,1F606,Professeur 26,,
Professeur 26,Tu n'as encore rien vu,Girl,0,,Professeur 27,,,,,,,,
Professeur 27,T'imagines même pas comment je le déteste,Girl,0,,Professeur 28,,,,,,,,
Professeur 28,Juste parce qu'il te colle ?,Girl,1,,,1F626,Famille 1,1F616,Famille 1,1F914,Famille 1,,
Famille 1,Ben… C aussi à cause de ma mère…,Girl,0,,Famille 2,,,,,,,,
Famille 2,Il l'a déjà appelée,Girl,0,,Famille 3,,,,,,,,
Famille 3,Plusieurs fois,Girl,0,,Famille 4,,,,,,,,
Famille 4,Tu sais comment est ma mère,Girl,0,,Famille 5,,,,,,,,
Famille 5,Ouch…,Girl,1,,,1F62C,Famille 6,1F616,Famille 6,1F628,Famille 6,,
Famille 6,Tu veux en parler ? Je garderai le secret,Girl,1,,,2639,Famille 7,1F613,Famille 7,1F910,Famille 7,,
Famille 7,Pas vraiment désolé…,Girl,0,,Famille 8,,,,,,,,
Famille 8,Je vais te laisser,Girl,0,,Famille 9,,,,,,,,
Famille 9,Bonne chance avec les maths,Girl,0,,Famille 10,,,,,,,,
Famille 10,Je suis plus vraiment motivée… Je suis avec toi,Girl,1,,,1F917,FIN,2764,FIN,1F623,FIN,,
Amour 1,"Après les mecs dégueus, on pourrait parler de mecs bogoss",Girl,1,,,1F924,Amour 2,1F601,Amour 2,1F60D,Amour 2,,
Amour 2,C'est pas une mauvaise idée,Girl,0,,Amour 3,,,,,,,,
Amour 3,Tu veux parler de Jerem ? C'est ça ?,Girl,0,,Amour 4,,,,,,,,
Amour 4,"Putain, il est trop beau et cool",Girl,1,,,1F61B,Amour 5,1F609,Amour 5,1F60D,Amour 5,,
Amour 5,T'es amoureuse de lui c sa ?  ,Girl,0,,Amour 6,,,,,,,,
Amour 6,Pas vraiment. Il est cool mais pas dans ma ligue. Toi tu aurais une chance par contre,Girl,1,,Amour 7,1F61D,Amour 7,1F601,Amour 7,1F61A,Amour 7,,
Amour 7,Hm… C sur il est cool mais il se la rac trop,Girl,0,,Amour 8,,,,,,,,
Amour 8,Il m'a déjà dragué tu sais,Girl,0,,Amour 9,,,,,,,,
Amour 9,Trop je l'ain clashé,Girl,0,,Amour 10,,,,,,,,
Amour 10,Noooooon ?,Girl,1,,,1F633,Amour 10.1,1F62C,Amour 10.1,1F605,Amour 10.2,,
Amour 10.1,Si jte jure,Girl,0,,Amour 12,,,,,,,,
Amour 10.2,Yep. Je l'ai remis à sa place,Girl,0,,Amour 11,,,,,,,,
Amour 11,C'te STAR,Girl,1,,,1F60E,Amour 12,1F618,Amour 12,1F929,Amour 12,,
Amour 12,"Du coup, y a personne qui t'intéresse ? T'es trop bien pour les gars ?",Girl,1,,,1F914,Amour 12.1,1F644,Amour 12.2,1F600,Amour 12.3,,
Amour 12.1,T'es sérieuse là ? ,Girl,0,,Amour 12.1.1,,,,,,,,
Amour 12.1.1,Bien sur que NON,Girl,0,,Amour 13,,,,,,,,
Amour 12.2,XD,Girl,0,,Amour 12.2.1,,,,,,,,
Amour 12.2.1,T'es conne,Girl,0,,Amour 12.2.2,,,,,,,,
Amour 12.2.2,Je suis pas si prétentieuse que ça,Girl,0,,Amour 13,,,,,,,,
Amour 12.3,T'es conne,Girl,0,,Amour 12.3.1,,,,,,,,
Amour 12.3.1,XD,Girl,0,,Amour 13,,,,,,,,
Amour 13,Non…,Girl,0,,Amour 14,,,,,,,,
Amour 14,C un secret,Girl,0,,Amour 15,,,,,,,,
Amour 15,Je te le dis parce que tu es ma meilleure pote,Girl,0,,Amour 16,,,,,,,,
Amour 16, ,Girl,1,,,1F609,Amour 17,1F619,Amour 17,1F910,Amour 17,,
Amour 17,;),Girl,0,,Amour 18,,,,,,,,
Amour 18,J'ai un crush sur Vincent,Girl,0,,Amour 19,,,,,,,,
Amour 19,Ooh !,Girl,1,,,1F636,Amour 20,1F632,Amour 21,1F625,Amour 22,,
Amour 20,Hm…,Girl,0,,Amour 20.1,,,,,,,,
Amour 21,Ouais… Je sais ça surprend,Girl,0,,Amour 21,,,,,,,,
Amour 22,Quoi ?!,Girl,0,,Amour 22,,,,,,,,
Amour 20.1,C tt,Girl,0,,Amour 20.1,,,,,,,,
Amour 20.2,Tu as rien à dire ? ,Girl,0,,Amour 20.2,,,,,,,,
Amour 20.3,C ton pote quand même,Girl,0,,Amour 20.3,,,,,,,,
Amour 20.4,Ouais… C mon pote,Girl,1,,Amour 20.4,1F60F,Amour 20.5,1F644,Amour 20.5,1F622,Amour 22.1.2,,
Amour 20.5,Tu penses que j'ai mes chances alors ? ,Girl,0,,Amour 20.6,,,,,,,,
Amour 20.6,Carrément oui,Girl,1,,,1F914,Amour 20.7,1F611,Amour 20.7,1F60C,Amour 20.7,,
Amour 20.7,Cool je suis trop contente de t'en avoir parlé,Girl,0,,Amour 20.8,,,,,,,,
Amour 20.8,On se voit demain en classe,Girl,0,,Amour 20.9,,,,,,,,
Amour 20.9,Bonne chance avec les maths,Girl,0,,Amour 22.1.1.4,,,,,,,,
Amour 22.1,Non non... rien,Girl,1,,,1F60C,Amour 22.1.1,1F636,Amour 22.1.1,1F614,Amour 22.1.2,,
Amour 22.1.1,C OK avec toi alors ?,Girl,0,,Amour 22.1.1.1,,,,,,,,
Amour 22.1.1.1,Je suis contente,Girl,0,,Amour 22.1.1.2,,,,,,,,
Amour 22.1.1.2,Je te laisse.,Girl,0,,Amour 22.1.1.3,,,,,,,,
Amour 22.1.1.3,Bonne chance avec les maths,Girl,0,,Amour 22.1.1.4,,,,,,,,
Amour 22.1.1.4,… Merci,Girl,1,,,1F613,FIN,1F622,FIN,1F630,FIN,,
Amour 22.1.2,Me dis pas que toi aussi…,Girl,0,,Amour 22.1.2.1,,,,,,,,
Amour 22.1.2.1,… Ben si,Girl,1,,Amour 22.1.2.2, ,Amour 22.1.2.2,1F62D,Amour 22.1.2.2,1F633,Amour 22.1.2.2,,
Amour 22.1.2.2,Merde…,Girl,0,,Amour 22.1.2.3,,,,,,,,
Amour 22.1.2.3,Je suis conne,Girl,0,,Amour 22.1.2.4,,,,,,,,
Amour 22.1.2.4,Merde…,Girl,0,,Amour 22.1.2.5,,,,,,,,
Amour 22.1.2.5,C tellement évident en plus,Girl,0,,Amour 22.1.2.6,,,,,,,,
Amour 22.1.2.6,Tu veux en parler ?,Girl,0,,Amour 22.1.2.7,,,,,,,,
Amour 22.1.2.7,…,Girl,0,5000,Amour 22.1.2.8,,,,,,,,
Amour 22.1.2.8,…,Girl,0,5000,Amour 22.1.2.9,,,,,,,,
Amour 22.1.2.9,Désolée,Girl,0,,Amour 22.1.2.10,,,,,,,,
Amour 22.1.2.10,On en parle demain à l'école,Girl,0,,Amour 22.1.2.11,,,,,,,,
Amour 22.1.2.11,OK ?,Girl,0,,Amour 22.1.2.12,,,,,,,,
Amour 22.1.2.12,…,,1,,,,,,,,,,
